gid,tipo_pavim,local,cod_local,area,distance,angle,geometry,x,y
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2380.0,93.9443063931119,POINT Z (687792.69873907 7190505.782523327 0),687792.69873907,7190505.782523327
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2400.0,99.09550919767442,POINT Z (687812.5274102172 7190503.258380408 0),687812.5274102172,7190503.258380408
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2420.0,115.54055147489076,POINT Z (687831.2152926421 7190496.3121492015 0),687831.2152926421,7190496.3121492015
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2440.0,302.8034948807784,POINT Z (687842.2032598945 7190484.655714872 0),687842.2032598945,7190484.655714872
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2760.0,319.84599579910684,POINT Z (687822.3986519142 7190290.074340468 0),687822.3986519142,7190290.074340468
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2780.0,315.3614776540166,POINT Z (687808.0398423015 7190303.9281083485 0),687808.0398423015,7190303.9281083485
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2800.0,314.26520770621715,POINT Z (687794.8160291269 7190318.896911606 0),687794.8160291269,7190318.896911606
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,2820.0,252.1008930831317,POINT Z (687778.1599594009 7190325.577573403 0),687778.1599594009,7190325.577573403
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3540.0,317.5591724286036,POINT Z (687835.9810705082 7189936.570409715 0),687835.9810705082,7189936.570409715
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3560.0,319.0464124686493,POINT Z (687822.6443708626 7189951.472326867 0),687822.6443708626,7189951.472326867
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3580.0,319.0464124686493,POINT Z (687809.5354216424 7189966.577142336 0),687809.5354216424,7189966.577142336
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3600.0,317.0768572605571,POINT Z (687796.261867787 7189981.537133191 0),687796.261867787,7189981.537133191
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3620.0,317.0768572605571,POINT Z (687782.641533788 7189996.182490877 0),687782.641533788,7189996.182490877
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3640.0,317.9907405466704,POINT Z (687769.2499161358 7190011.037180408 0),687769.2499161358,7190011.037180408
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3660.0,317.5051323170742,POINT Z (687755.7891541079 7190025.829104266 0),687755.7891541079,7190025.829104266
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3680.0,319.3782943294209,POINT Z (687742.6153848459 7190040.875748064 0),687742.6153848459,7190040.875748064
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3700.0,319.08613777863707,POINT Z (687729.5645238031 7190056.030699962 0),687729.5645238031,7190056.030699962
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3720.0,319.36796264875767,POINT Z (687716.4800801205 7190071.156699242 0),687716.4800801205,7190071.156699242
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3740.0,317.33741568904014,POINT Z (687703.3933748124 7190086.279056576 0),687703.3933748124,7190086.279056576
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3760.0,316.8973903472531,POINT Z (687689.8292386323 7190100.976410301 0),687689.8292386323,7190100.976410301
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3780.0,317.20150243636704,POINT Z (687676.1881275662 7190115.602333457 0),687676.1881275662,7190115.602333457
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3800.0,319.71902473033225,POINT Z (687663.020159697 7190130.649810708 0),687663.020159697,7190130.649810708
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3820.0,317.6778635322953,POINT Z (687649.5910303709 7190145.469168286 0),687649.5910303709,7190145.469168286
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3840.0,314.91602337866794,POINT Z (687635.780459214 7190159.927240169 0),687635.780459214,7190159.927240169
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3860.0,316.72128642277306,POINT Z (687621.9129702304 7190174.33694415 0),687621.9129702304,7190174.33694415
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3880.0,317.46560309805164,POINT Z (687608.211082226 7190188.905924933 0),687608.211082226,7190188.905924933
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3900.0,319.9694032288171,POINT Z (687594.8509290861 7190203.784273989 0),687594.8509290861,7190203.784273989
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3920.0,319.71727624910517,POINT Z (687581.9489169404 7190219.066164581 0),687581.9489169404,7190219.066164581
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3940.0,318.75624827002684,POINT Z (687568.7359924804 7190234.079421479 0),687568.7359924804,7190234.079421479
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3960.0,320.057839409451,POINT Z (687555.7356982405 7190249.276165069 0),687555.7356982405,7190249.276165069
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,3980.0,319.2191498907396,POINT Z (687542.5257051145 7190264.291778133 0),687542.5257051145,7190264.291778133
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,4000.0,319.4205688724466,POINT Z (687529.4169995845 7190279.396275623 0),687529.4169995845,7190279.396275623
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,4020.0,320.7237845967934,POINT Z (687516.6588618702 7190294.797197535 0),687516.6588618702,7190294.797197535
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,4040.0,326.7028706192803,POINT Z (687504.4702678339 7190310.625260652 0),687504.4702678339,7190310.625260652
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,4060.0,312.4678087977997,POINT Z (687490.8517750497 7190325.194747589 0),687490.8517750497,7190325.194747589
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,4080.0,318.422971653131,POINT Z (687477.0081944341 7190339.61119525 0),687477.0081944341,7190339.61119525
