gid,local,cod_local,E,N,geometry,x,y
63,Fazenda Canguiri,PFCG,687460.587,7190257.676,POINT Z (687460.5871028085 7190257.676286071 924.5703039183925),687460.5871028085,7190257.676286071
64,Fazenda Canguiri,PFCG,687456.323,7190257.106,POINT Z (687456.3226757376 7190257.105601877 926.9213374562994),687456.3226757376,7190257.105601877
65,Fazenda Canguiri,PFCG,687469.104,7190255.625,POINT Z (687469.1036805483 7190255.624841167 923.8649938570204),687469.1036805483,7190255.624841167
66,Fazenda Canguiri,PFCG,687449.318,7190265.238,POINT Z (687449.3177294402 7190265.238187947 925.9022520428152),687449.3177294402,7190265.238187947
67,Fazenda Canguiri,PFCG,687410.272,7190248.22,POINT Z (687410.2715624537 7190248.219574473 924.7267352738618),687410.2715624537,7190248.219574473
68,Fazenda Canguiri,PFCG,687493.449,7190282.669,POINT Z (687493.4485060573 7190282.668781607 926.490010427292),687493.4485060573,7190282.668781607
69,Fazenda Canguiri,PFCG,687488.845,7190288.004,POINT Z (687488.8450247927 7190288.004409796 926.9602171348733),687488.8450247927,7190288.004409796
70,Fazenda Canguiri,PFCG,687487.699,7190290.847,POINT Z (687487.6994243894 7190290.846880741 926.9602171348733),687487.6994243894,7190290.846880741
71,Fazenda Canguiri,PFCG,687485.072,7190297.001,POINT Z (687485.0721929251 7190297.001142163 926.9602171348733),687485.0721929251,7190297.001142163
72,Fazenda Canguiri,PFCG,687490.442,7190301.771,POINT Z (687490.4418945507 7190301.77065226 927.5479755193501),687490.4418945507,7190301.77065226
73,Fazenda Canguiri,PFCG,687560.742,7190233.567,POINT Z (687560.7420738264 7190233.567281148 928.2532855807221),687560.7420738264,7190233.567281148
74,Fazenda Canguiri,PFCG,687556.952,7190236.794,POINT Z (687556.9519934062 7190236.794259317 929.6639057034663),687556.9519934062,7190236.794259317
75,Fazenda Canguiri,PFCG,687553.545,7190233.918,POINT Z (687553.5448009036 7190233.917504175 929.6639057034663),687553.5448009036,7190233.917504175
76,Fazenda Canguiri,PFCG,687522.854,7190275.574,POINT Z (687522.8542401765 7190275.57377867 931.4271808568965),687522.8542401765,7190275.57377867
77,Fazenda Canguiri,PFCG,687520.257,7190280.125,POINT Z (687520.2567922384 7190280.124853936 930.3692157648384),687520.2567922384,7190280.124853936
78,Fazenda Canguiri,PFCG,687516.359,7190284.153,POINT Z (687516.3588766531 7190284.153450005 929.546354026571),687516.3588766531,7190284.153450005
79,Fazenda Canguiri,PFCG,687504.561,7190297.71,POINT Z (687504.5614645614 7190297.710381441 927.9006305500361),687504.5614645614,7190297.710381441
80,Fazenda Canguiri,PFCG,687500.593,7190302.54,POINT Z (687500.5933690041 7190302.5403932575 928.7234922883035),687500.5933690041,7190302.5403932575
81,Fazenda Canguiri,PFCG,687423.239,7190282.166,POINT Z (687423.2389409381 7190282.165691826 930.9724763619416),687423.2389409381,7190282.165691826
82,Fazenda Canguiri,PFCG,687415.079,7190288.215,POINT Z (687415.0790318573 7190288.215329801 930.9724763619416),687415.0790318573,7190288.215329801
83,Fazenda Canguiri,PFCG,687404.92,7190274.453,POINT Z (687404.9195328399 7190274.45264705 929.0916495316161),687404.9195328399,7190274.45264705
84,Fazenda Canguiri,PFCG,687413.786,7190267.6,POINT Z (687413.786088717 7190267.600033068 927.9161327626626),687413.786088717,7190267.600033068
85,Fazenda Canguiri,PFCG,687441.655,7190282.577,POINT Z (687441.6553477966 7190282.576854044 927.9161327626626),687441.6553477966,7190282.576854044
86,Fazenda Canguiri,PFCG,687440.739,7190309.093,POINT Z (687440.7387775396 7190309.092917014 928.5038911471394),687440.7387775396,7190309.092917014
87,Fazenda Canguiri,PFCG,687435.872,7190314.75,POINT Z (687435.8716280285 7190314.749863137 929.4443045623021),687435.8716280285,7190314.749863137
88,Fazenda Canguiri,PFCG,687460.636,7190309.559,POINT Z (687460.6359665347 7190309.559271489 928.6707350574408),687460.6359665347,7190309.559271489
89,Fazenda Canguiri,PFCG,687467.479,7190323.548,POINT Z (687467.4788708843 7190323.54848629 927.9654249960687),687467.4788708843,7190323.54848629
90,Fazenda Canguiri,PFCG,687452.604,7190329.953,POINT Z (687452.6035744144 7190329.952722515 929.1409417650221),687452.6035744144,7190329.952722515
91,Fazenda Canguiri,PFCG,687448.317,7190339.151,POINT Z (687448.3171053863 7190339.150934031 932.7850437487779),687448.3171053863,7190339.150934031
92,Fazenda Canguiri,PFCG,687424.958,7190383.047,POINT Z (687424.9580346566 7190383.046912534 936.5722819515132),687424.9580346566,7190383.046912534
93,Fazenda Canguiri,PFCG,687430.893,7190359.461,POINT Z (687430.8928890176 7190359.460631835 933.8685933829203),687430.8928890176,7190359.460631835
94,Fazenda Canguiri,PFCG,687431.963,7190360.603,POINT Z (687431.9629601202 7190360.602964547 933.8685933829203),687431.9629601202,7190360.602964547
95,Fazenda Canguiri,PFCG,687444.921,7190361.555,POINT Z (687444.9206880504 7190361.554659795 933.8685933829203),687444.9206880504,7190361.554659795
96,Fazenda Canguiri,PFCG,687400.984,7190327.889,POINT Z (687400.984426839 7190327.889142933 932.8899297449328),687400.984426839,7190327.889142933
97,Fazenda Canguiri,PFCG,687410.175,7190340.676,POINT Z (687410.175414158 7190340.67636649 931.7144129759794),687410.175414158,7190340.67636649
98,Fazenda Canguiri,PFCG,687408.979,7190342.532,POINT Z (687408.9794592098 7190342.5318772495 932.4197230373514),687408.9794592098,7190342.5318772495
99,Fazenda Canguiri,PFCG,687402.314,7190348.532,POINT Z (687402.3137337894 7190348.531502337 931.9495163297701),687402.3137337894,7190348.531502337
100,Fazenda Canguiri,PFCG,687415.72,7190333.197,POINT Z (687415.7198851573 7190333.197281583 930.0440613471014),687415.7198851573,7190333.197281583
369,Fazenda Canguiri,PFCG,687839.834,7189925.364,POINT Z (687839.8343365066 7189925.363787217 911.4481171284997),687839.8343365066,7189925.363787217
370,Fazenda Canguiri,PFCG,687836.016,7189929.493,POINT Z (687836.0164286748 7189929.4930638615 910.7428070671276),687836.0164286748,7189929.4930638615
371,Fazenda Canguiri,PFCG,687832.773,7189933.484,POINT Z (687832.7728166498 7189933.483713996 910.7428070671276),687832.7728166498,7189933.483713996
372,Fazenda Canguiri,PFCG,687829.197,7189938.156,POINT Z (687829.1970870973 7189938.155509497 910.7428070671276),687829.1970870973,7189938.155509497
373,Fazenda Canguiri,PFCG,687821.777,7189945.937,POINT Z (687821.777476322 7189945.936929522 910.7428070671276),687821.777476322,7189945.936929522
374,Fazenda Canguiri,PFCG,687814.728,7189953.381,POINT Z (687814.7283123933 7189953.381295763 910.7428070671276),687814.7283123933,7189953.381295763
375,Fazenda Canguiri,PFCG,687811.188,7189957.449,POINT Z (687811.1884979927 7189957.4491769755 910.7428070671276),687811.1884979927,7189957.4491769755
376,Fazenda Canguiri,PFCG,687803.767,7189965.515,POINT Z (687803.7669947511 7189965.514966734 910.7428070671276),687803.7669947511,7189965.514966734
377,Fazenda Canguiri,PFCG,687800.018,7189969.867,POINT Z (687800.0177579866 7189969.866940435 910.7428070671276),687800.0177579866,7189969.866940435
378,Fazenda Canguiri,PFCG,687796.521,7189974.179,POINT Z (687796.520887111 7189974.179088903 910.7428070671276),687796.520887111,7189974.179088903
379,Fazenda Canguiri,PFCG,687792.988,7189978.24,POINT Z (687792.9875770956 7189978.239517932 910.7428070671276),687792.9875770956,7189978.239517932
380,Fazenda Canguiri,PFCG,687789.299,7189982.44,POINT Z (687789.2993284244 7189982.440273216 910.7428070671276),687789.2993284244,7189982.440273216
631,Fazenda Canguiri,PFCG,687359.891,7190316.267,POINT Z (687359.8905122472 7190316.266950809 932.0149392413732),687359.8905122472,7190316.266950809
632,Fazenda Canguiri,PFCG,687344.591,7190361.61,POINT Z (687344.5911981064 7190361.610278371 936.8345579940824),687344.5911981064,7190361.610278371
633,Fazenda Canguiri,PFCG,687367.551,7190345.428,POINT Z (687367.5505007434 7190345.427977994 937.0696613478731),687367.5505007434,7190345.427977994
634,Fazenda Canguiri,PFCG,687361.001,7190345.936,POINT Z (687361.0011598261 7190345.93550343 934.2484211023848),687361.0011598261,7190345.93550343
635,Fazenda Canguiri,PFCG,687356.703,7190347.776,POINT Z (687356.7032749768 7190347.775864066 935.1888345175475),687356.7032749768,7190347.775864066
636,Fazenda Canguiri,PFCG,687355.083,7190345.846,POINT Z (687355.0830262139 7190345.845553027 934.6010761330708),687355.0830262139,7190345.845553027
637,Fazenda Canguiri,PFCG,687342.449,7190346.419,POINT Z (687342.4489141657 7190346.418518095 936.9521096709777),687342.4489141657,7190346.418518095
638,Fazenda Canguiri,PFCG,687338.114,7190341.931,POINT Z (687338.1135499567 7190341.930798974 935.6590412251289),687338.1135499567,7190341.930798974
639,Fazenda Canguiri,PFCG,687477.64,7190326.425,POINT Z (687477.6397397218 7190326.425050517 932.7202493027453),687477.6397397218,7190326.425050517
640,Fazenda Canguiri,PFCG,687130.852,7189973.909,POINT Z (687130.851794218 7189973.909411784 933.9179861338458),687130.851794218,7189973.909411784
641,Fazenda Canguiri,PFCG,687127.771,7189968.867,POINT Z (687127.7706773707 7189968.867038763 933.9179861338458),687127.7706773707,7189968.867038763
642,Fazenda Canguiri,PFCG,687084.718,7190106.544,POINT Z (687084.7176108105 7190106.54366639 937.7714858228951),687084.7176108105,7190106.54366639
643,Fazenda Canguiri,PFCG,687094.135,7190104.095,POINT Z (687094.1349138328 7190104.095286088 936.360865700151),687094.1349138328,7190104.095286088
644,Fazenda Canguiri,PFCG,687099.901,7190102.76,POINT Z (687099.9009952068 7190102.760328867 935.8906589925696),687099.9009952068,7190102.760328867
645,Fazenda Canguiri,PFCG,687105.784,7190100.078,POINT Z (687105.7840501954 7190100.0783587145 934.9502455774068),687105.7840501954,7190100.0783587145
646,Fazenda Canguiri,PFCG,687108.625,7190096.593,POINT Z (687108.6250913084 7190096.593456444 934.4800388698254),687108.6250913084,7190096.593456444
647,Fazenda Canguiri,PFCG,687113.371,7190095.565,POINT Z (687113.3709651927 7190095.564897825 934.009832162244),687113.3709651927,7190095.564897825
648,Fazenda Canguiri,PFCG,687122.727,7190095.188,POINT Z (687122.7273841779 7190095.188319343 933.0694187470813),687122.7273841779,7190095.188319343
